FAST 30 jumps
[18:45:38] junt.c:70> t: 1586265337956, x: 940, y: -153, z: 141
[18:45:38] junt.c:70> t: 1586265338077, x: 859, y: -85, z: 123
[18:45:38] junt.c:70> t: 1586265338198, x: 1086, y: -186, z: 58
[18:45:38] junt.c:70> t: 1586265338318, x: 1016, y: -142, z: 103
[18:45:38] junt.c:70> t: 1586265338440, x: 930, y: -107, z: 165
[18:45:39] junt.c:70> t: 1586265338561, x: 938, y: -87, z: 159
[18:45:39] junt.c:70> t: 1586265338682, x: 1025, y: -146, z: 108
[18:45:39] junt.c:70> t: 1586265338799, x: 992, y: -108, z: 126
[18:45:39] junt.c:70> t: 1586265338924, x: 928, y: -100, z: 153
[18:45:39] junt.c:70> t: 1586265339042, x: 1016, y: -137, z: 174
[18:45:39] junt.c:70> t: 1586265339163, x: 964, y: -70, z: 159
[18:45:39] junt.c:70> t: 1586265339284, x: 995, y: -91, z: 175
[18:45:40] junt.c:70> t: 1586265339405, x: 969, y: -76, z: 150
[18:45:40] junt.c:70> t: 1586265339526, x: 1001, y: -83, z: 149
[18:45:40] junt.c:70> t: 1586265339647, x: 973, y: -71, z: 163
[18:45:40] junt.c:70> t: 1586265339768, x: 985, y: -95, z: 169
[18:45:40] junt.c:70> t: 1586265339889, x: 974, y: -78, z: 171
[18:45:40] junt.c:70> t: 1586265340006, x: 971, y: -75, z: 163
[18:45:40] junt.c:70> t: 1586265340128, x: 981, y: -79, z: 170
[18:45:40] junt.c:70> t: 1586265340249, x: 975, y: -78, z: 172
[18:45:40] junt.c:70> t: 1586265340370, x: 983, y: -73, z: 171
[18:45:40] junt.c:70> t: 1586265340491, x: 983, y: -77, z: 156
[18:45:41] junt.c:70> t: 1586265340612, x: 975, y: -77, z: 178
[18:45:41] junt.c:70> t: 1586265340733, x: 967, y: -81, z: 183
[18:45:41] junt.c:70> t: 1586265340854, x: 981, y: -85, z: 170
[18:45:41] junt.c:70> t: 1586265340971, x: 980, y: -80, z: 171
[18:45:41] junt.c:70> t: 1586265341091, x: 979, y: -83, z: 172
[18:45:41] junt.c:70> t: 1586265341213, x: 973, y: -82, z: 180
[18:45:42] junt.c:70> t: 1586265341335, x: 980, y: -82, z: 173
[18:45:42] junt.c:70> t: 1586265341456, x: 984, y: -82, z: 170
[18:45:42] junt.c:70> t: 1586265341577, x: 980, y: -82, z: 174
[18:45:42] junt.c:70> t: 1586265341698, x: 976, y: -85, z: 173
[18:45:42] junt.c:70> t: 1586265341815, x: 981, y: -84, z: 173
[18:45:42] junt.c:70> t: 1586265341936, x: 977, y: -86, z: 173
[18:45:42] junt.c:70> t: 1586265342057, x: 981, y: -84, z: 174
[18:45:42] junt.c:70> t: 1586265342178, x: 978, y: -81, z: 173
[18:45:42] junt.c:70> t: 1586265342299, x: 979, y: -83, z: 174

