20 JUMPS REGULAR
[16:38:40] junt.c:146> t: 1586516919258, x: 990, y: -18, z: 110
[16:38:40] junt.c:146> t: 1586516919379, x: 992, y: -13, z: 107
[16:38:40] junt.c:146> t: 1586516919500, x: 990, y: -33, z: 107
[16:38:40] junt.c:146> t: 1586516919622, x: 995, y: -3, z: 95
[16:38:40] junt.c:146> t: 1586516919743, x: 993, y: -12, z: 96
[16:38:40] junt.c:146> t: 1586516919864, x: 994, y: -17, z: 97
[16:38:40] junt.c:146> t: 1586516919985, x: 993, y: -19, z: 94
[16:38:40] junt.c:146> t: 1586516920105, x: 991, y: -13, z: 105
[16:38:40] junt.c:146> t: 1586516920227, x: 988, y: -16, z: 106
[16:38:41] junt.c:146> t: 1586516920344, x: 991, y: -10, z: 109
[16:38:41] junt.c:146> t: 1586516920465, x: 993, y: -11, z: 106
[16:38:41] junt.c:146> t: 1586516920585, x: 991, y: -11, z: 113
[16:38:41] junt.c:146> t: 1586516920708, x: 993, y: -14, z: 108
[16:38:41] junt.c:146> t: 1586516920829, x: 985, y: -7, z: 106
[16:38:41] junt.c:146> t: 1586516920950, x: 986, y: -5, z: 105
[16:38:42] junt.c:146> t: 1586516921071, x: 991, y: -5, z: 102
[16:38:42] junt.c:146> t: 1586516921192, x: 988, y: -31, z: 116
[16:38:42] junt.c:146> t: 1586516921313, x: 1093, y: 22, z: 99
[16:38:42] junt.c:146> t: 1586516921434, x: 983, y: 146, z: 139
[16:38:42] junt.c:146> t: 1586516921555, x: 867, y: -425, z: -61
[16:38:42] junt.c:146> t: 1586516921672, x: 1129, y: -144, z: 45
[16:38:42] junt.c:146> t: 1586516921793, x: 1037, y: 241, z: 162
[16:38:42] junt.c:146> t: 1586516921915, x: 900, y: 537, z: 222
[16:38:42] junt.c:146> t: 1586516922036, x: 794, y: -192, z: 222
[16:38:42] junt.c:146> t: 1586516922157, x: 974, y: -112, z: 170
[16:38:42] junt.c:146> t: 1586516922278, x: 983, y: -91, z: 233
[16:38:43] junt.c:146> t: 1586516922399, x: 958, y: -36, z: 226
[16:38:43] junt.c:146> t: 1586516922520, x: 970, y: 5, z: 233
[16:38:43] junt.c:146> t: 1586516922641, x: 975, y: 101, z: 211
[16:38:43] junt.c:146> t: 1586516922762, x: 1074, y: 123, z: 197
[16:38:43] junt.c:146> t: 1586516922879, x: 1513, y: 14, z: 136
[16:38:43] junt.c:146> t: 1586516923000, x: 1113, y: 320, z: 160
[16:38:43] junt.c:146> t: 1586516923122, x: 839, y: 665, z: 254
[16:38:43] junt.c:146> t: 1586516923243, x: 714, y: 830, z: 394
[16:38:44] junt.c:146> t: 1586516923364, x: 484, y: 663, z: 85
[16:38:44] junt.c:146> t: 1586516923485, x: 414, y: 588, z: 153
[16:38:44] junt.c:146> t: 1586516923606, x: 422, y: 611, z: 766
[16:38:44] junt.c:146> t: 1586516923727, x: 666, y: 641, z: 189
[16:38:44] junt.c:146> t: 1586516923848, x: 779, y: 646, z: 445
[16:38:44] junt.c:146> t: 1586516923969, x: 679, y: 670, z: 331

