[17:34:14] junt.c:77> Done initializing, pushed window: 0x20018c34
[17:34:38] junt.c:66> t: 1586088277825, x: 978, y: -335, z: 68
[17:34:38] junt.c:66> t: 1586088277946, x: 1059, y: -364, z: 204
[17:34:38] junt.c:66> t: 1586088278067, x: 916, y: -386, z: 262
[17:34:38] junt.c:66> t: 1586088278188, x: 766, y: -382, z: 190
[17:34:38] junt.c:66> t: 1586088278309, x: 757, y: -497, z: 161
[17:34:38] junt.c:66> t: 1586088278429, x: 850, y: -648, z: 306
[17:34:38] junt.c:66> t: 1586088278551, x: 819, y: -706, z: 331
[17:34:38] junt.c:66> t: 1586088278672, x: 678, y: -711, z: 225
[17:34:38] junt.c:66> t: 1586088278793, x: 544, y: -710, z: 162
[17:34:39] junt.c:66> t: 1586088278915, x: 528, y: -812, z: 314
[17:34:39] junt.c:66> t: 1586088279036, x: 469, y: -828, z: 368
[17:34:39] junt.c:66> t: 1586088279157, x: 371, y: -830, z: 412
[17:34:39] junt.c:66> t: 1586088279274, x: 302, y: -651, z: 368
[17:34:39] junt.c:66> t: 1586088279395, x: 279, y: -625, z: 96
[17:34:39] junt.c:66> t: 1586088279516, x: 127, y: -1635, z: 279
[17:34:39] junt.c:66> t: 1586088279637, x: 225, y: -682, z: 568
[17:34:39] junt.c:66> t: 1586088279757, x: 199, y: -730, z: 636
[17:34:39] junt.c:66> t: 1586088279879, x: 153, y: -737, z: 674
[17:34:40] junt.c:66> t: 1586088280000, x: 120, y: -691, z: 732
[17:34:40] junt.c:66> t: 1586088280122, x: 84, y: -705, z: 723
[17:34:40] junt.c:66> t: 1586088280243, x: 49, y: -690, z: 810
[17:34:40] junt.c:66> t: 1586088280364, x: 77, y: -778, z: 877
[17:34:40] junt.c:66> t: 1586088280485, x: 84, y: -650, z: 802
[17:34:40] junt.c:66> t: 1586088280606, x: -10, y: -649, z: 766
[17:34:40] junt.c:66> t: 1586088280723, x: 15, y: -672, z: 746
[17:34:40] junt.c:66> t: 1586088280844, x: 31, y: -662, z: 747
[17:34:41] junt.c:66> t: 1586088280965, x: 31, y: -687, z: 745
[17:34:41] junt.c:66> t: 1586088281085, x: 32, y: -699, z: 726
[17:34:41] junt.c:66> t: 1586088281208, x: 20, y: -727, z: 708
[17:34:41] junt.c:66> t: 1586088281329, x: 33, y: -748, z: 661
[17:34:41] junt.c:66> t: 1586088281449, x: 26, y: -789, z: 639
[17:34:41] junt.c:66> t: 1586088281570, x: 20, y: -827, z: 607
[17:34:41] junt.c:66> t: 1586088281692, x: 31, y: -881, z: 528
[17:34:42] junt.c:66> t: 1586088281813, x: 30, y: -833, z: 469
[17:34:42] junt.c:66> t: 1586088281934, x: 31, y: -885, z: 449
[17:34:42] junt.c:66> t: 1586088282055, x: 15, y: -885, z: 497
[17:34:42] junt.c:66> t: 1586088282176, x: 44, y: -857, z: 420
[17:34:42] junt.c:66> t: 1586088282293, x: 38, y: -882, z: 481
[17:34:42] junt.c:66> t: 1586088282415, x: 56, y: -879, z: 427
[17:34:42] junt.c:66> t: 1586088282535, x: 37, y: -871, z: 458
[17:34:42] junt.c:66> t: 1586088282657, x: 16, y: -895, z: 442
[17:34:42] junt.c:66> t: 1586088282778, x: 21, y: -902, z: 458
[17:34:43] junt.c:66> t: 1586088282899, x: 45, y: -845, z: 465
[17:34:43] junt.c:66> t: 1586088283020, x: 27, y: -681, z: 631
[17:34:43] junt.c:66> t: 1586088283141, x: 89, y: -761, z: 684
[17:34:43] junt.c:66> t: 1586088283262, x: 49, y: -707, z: 702
[17:34:43] junt.c:66> t: 1586088283383, x: 28, y: -841, z: 859
[17:34:43] junt.c:66> t: 1586088283504, x: -53, y: -636, z: 681
[17:34:43] junt.c:66> t: 1586088283622, x: -73, y: -735, z: 799
[17:34:43] junt.c:66> t: 1586088283743, x: 42, y: -590, z: 817
[17:34:43] junt.c:66> t: 1586088283864, x: -32, y: -701, z: 753
[17:34:44] junt.c:66> t: 1586088283985, x: -40, y: -774, z: 652
[17:34:44] junt.c:66> t: 1586088284106, x: -150, y: -674, z: 1121
[17:34:44] junt.c:66> t: 1586088284227, x: -11, y: -126, z: 957
[17:34:44] junt.c:66> t: 1586088284348, x: -61, y: 74, z: 1052
[17:34:44] junt.c:66> t: 1586088284469, x: -67, y: 407, z: 1142
[17:34:44] junt.c:66> t: 1586088284590, x: 57, y: 770, z: 269
[17:34:44] junt.c:66> t: 1586088284711, x: -32, y: 1304, z: -272
[17:34:44] junt.c:66> t: 1586088284832, x: 725, y: 887, z: -826
[17:34:45] junt.c:66> t: 1586088284950, x: -700, y: 1534, z: 610
[17:34:45] junt.c:66> t: 1586088285071, x: 528, y: 865, z: 823
[17:34:45] junt.c:66> t: 1586088285192, x: 790, y: 542, z: -611
[17:34:45] junt.c:66> t: 1586088285313, x: 403, y: 760, z: -339
[17:34:45] junt.c:66> t: 1586088285434, x: 572, y: 316, z: -635
[17:34:45] junt.c:66> t: 1586088285555, x: 178, y: 196, z: -538
[17:34:45] junt.c:66> t: 1586088285676, x: -397, y: -29, z: -1121
[17:34:45] junt.c:66> t: 1586088285797, x: 56, y: -243, z: -894
[17:34:46] junt.c:66> t: 1586088285918, x: 222, y: -397, z: -844
[17:34:46] junt.c:66> t: 1586088286040, x: 87, y: -179, z: -797
[17:34:46] junt.c:66> t: 1586088286161, x: 347, y: 189, z: 1
[17:34:46] junt.c:66> t: 1586088286278, x: 247, y: -17, z: 837
[17:34:46] junt.c:66> t: 1586088286403, x: 982, y: 422, z: 244
[17:34:46] junt.c:66> t: 1586088286520, x: 926, y: 123, z: 349
[17:34:47] junt.c:66> t: 1586088286641, x: 948, y: 124, z: 332
[17:34:47] junt.c:66> t: 1586088286762, x: 933, y: 142, z: 347
[17:34:47] junt.c:66> t: 1586088286883, x: 931, y: 139, z: 355
[17:34:47] junt.c:66> t: 1586088287004, x: 927, y: 135, z: 351
[17:34:47] junt.c:66> t: 1586088287125, x: 942, y: 125, z: 336
[17:34:47] junt.c:66> t: 1586088287247, x: 952, y: 106, z: 329
[17:34:47] junt.c:66> t: 1586088287368, x: 936, y: 101, z: 323
[17:34:47] junt.c:66> t: 1586088287489, x: 914, y: 97, z: 347
[17:34:47] junt.c:66> t: 1586088287610, x: 944, y: 100, z: 345
[17:34:47] junt.c:66> t: 1586088287731, x: 917, y: 106, z: 351
[17:34:48] junt.c:66> t: 1586088287848, x: 933, y: 108, z: 359
[17:34:48] junt.c:66> t: 1586088287969, x: 929, y: 109, z: 364
[17:34:48] junt.c:66> t: 1586088288090, x: 920, y: 104, z: 368
[17:34:48] junt.c:66> t: 1586088288211, x: 926, y: 100, z: 367
